pcode,municipio,departamento,mmi,poblacion,notas,medios,ultima_nota,sin_cobertura
#adm2+code,#adm2+name,#adm1+name,#severity+mmi+num,#population+total+num,#meta+count+num,#meta+source+list,#date+latest,#status+coverage
CO66170,Dosquebradas,Risaralda,8,235337,20,"Alcaldía de Dosquebradas (6) · Pulzo (3) · Risaraldahoy.com (2) · Noticias RCN (2) · El Diario (Pereira) (1) · El Diario - Noticias Pereira, Colombia y el Mundo (1) · elexpreso.co (1) · alerta.com.co (1) · Análisis Urbano (1) · Caracol Radio (1) · Bogota.gov.co (1)",2026-09-02T15:29:57.000Z,no
CO66001,Pereira,Risaralda,8,500806,97,"Pulzo (16) · El Diario (Pereira) (14) · El Diario - Noticias Pereira, Colombia y el Mundo (7) · Caracol Radio (6) · Revista Semana (5) · El Tiempo (4) · Noticias RCN (3) · alerta.com.co (2) · La FM (2) · lapatria.com (2) · Yahoo (2) · Blu Radio (2) · ELHERALDO.CO (2) · El Quindiano (1) · elnortehoy.com (1) · Risaraldahoy.com (1) · Telemedellín (1) · El Espectador (1) · laopinion.co (1) · Eluniversal.com.co (1) · Publimetro Colombia (1) · City Tv (1) · El Nuevo Diario (1) · EFE - Agencia de noticias (1) · RPP Noticias (1) · 20Minutos (1) · elpais.com.co (1) · Infobae (1) · todojujuy.com (1) · telemundo.com (1) · El Olfato (1) · LaRepublica.co (1) · Las2orillas (1) · noticiascaracol.com (1) · ESPN Deportes (1) · CAMBIO Colombia (1) · Teleamazonas (1) · Mi Diario (1) · El Colombiano (1) · El Periódico (1) · La Silla Vacía (1) · Colombia.com (1) · facebook.com (1)",2026-09-03T06:43:56.000Z,no
CO76622,Roldanillo,Valle del Cauca,8,38029,17,Noticiero 90 Minutos (2) · elpais.com.co (2) · Revista Semana (2) · Pulzo (1) · Gobernación del Valle del Cauca (1) · Estrella Digital Colombia (1) · EL PAÍS (1) · El Tiempo (1) · Hoy Diario del Magdalena (1) · Gobernación del valle (1) · El Colombiano (1) · El Espectador (1) · Agencia de Periodismo Investigativo (1) · Telepacífico (1),2026-09-02T21:01:12.000Z,no
CO76895,Zarzal,Valle del Cauca,8,43787,1,elpais.com.co (1),2023-11-26T08:00:00.000Z,no
CO76147,Cartago,Valle del Cauca,7.9,142255,6,elnortehoy.com (5) · Las2orillas (1),2026-08-17T07:00:00.000Z,no
CO76100,Bolívar,Valle del Cauca,7.8,16104,0,,,sí
CO76403,La Victoria,Valle del Cauca,7.8,12251,6,elpais.com.co (2) · Soy Nueva Prensa Digital (1) · ELHERALDO.CO (1) · racinguismo.com (1) · El Aragueño (1),2026-08-28T03:40:18.000Z,no
CO27001,Quibdó,Chocó,7.8,134417,31,El Colombiano (2) · los40.com.co (2) · La FM (2) · ELHERALDO.CO (2) · Yahoo (2) · MARCA (2) · Revista Semana (1) · Diario del Norte (1) · HolaNews (1) · CDN (1) · Zona Cero (1) · France 24 (1) · Blu Radio (1) · Análisis Urbano (1) · Caracol Radio (1) · KCH FM (1) · Publimetro Colombia (1) · noticiascaracol.com (1) · Q´hubo Bogotá (1) · Noticias SIN (1) · 2001 Online (1) · El Tiempo (1) · Eje21 (1) · Ecos del Combeima (1) · Canal 1 En vivo (1),2026-08-29T21:01:31.000Z,no
CO76041,Ansermanuevo,Valle del Cauca,7.7,17838,0,,,sí
