pcode,municipio,pcode_departamento,departamento,mmi,grado_mercalli,metodo
#adm2+code,#adm2+name,#adm1+code,#adm1+name,#severity+mmi+num,#severity+mmi+code,#meta+method
CO17001,Manizales,CO17,Caldas,8,VIII,malla
CO76147,Cartago,CO76,Valle del Cauca,8,VIII,malla
CO66001,Pereira,CO66,Risaralda,7.9,VIII,malla
CO66170,Dosquebradas,CO66,Risaralda,7.9,VIII,malla
CO27001,Quibdó,CO27,Chocó,7.8,VIII,malla
CO76845,Ulloa,CO76,Valle del Cauca,7.8,VIII,malla
CO17873,Villamaría,CO17,Caldas,7.7,VIII,malla
CO27600,Río Quito,CO27,Chocó,7.7,VIII,malla
CO76020,Alcalá,CO76,Valle del Cauca,7.7,VIII,malla
CO76041,Ansermanuevo,CO76,Valle del Cauca,7.7,VIII,malla
CO76109,Buenaventura,CO76,Valle del Cauca,7.7,VIII,malla
CO17174,Chinchiná,CO17,Caldas,7.6,VIII,malla
CO63001,Armenia,CO63,Quindio,7.6,VIII,malla
CO63594,Quimbaya,CO63,Quindio,7.6,VIII,malla
CO66075,Balboa,CO66,Risaralda,7.6,VIII,malla
CO66400,La Virginia,CO66,Risaralda,7.6,VIII,malla
CO76497,Obando,CO76,Valle del Cauca,7.6,VIII,malla
CO17877,Viterbo,CO17,Caldas,7.5,VIII,malla
CO27050,Atrato,CO27,Chocó,7.5,VIII,malla
CO63130,Calarcá,CO63,Quindio,7.5,VIII,malla
CO63190,Circasia,CO63,Quindio,7.5,VIII,malla
CO66440,Marsella,CO66,Risaralda,7.5,VIII,malla
CO66682,Santa Rosa de Cabal,CO66,Risaralda,7.5,VIII,malla
CO66687,Santuario,CO66,Risaralda,7.5,VIII,malla
CO76823,Toro,CO76,Valle del Cauca,7.5,VIII,malla
CO17088,Belalcázar,CO17,Caldas,7.4,VII,malla
CO17524,Palestina,CO17,Caldas,7.4,VII,malla
CO63272,Filandia,CO63,Quindio,7.4,VII,malla
CO63401,La Tebaida,CO63,Quindio,7.4,VII,malla
CO63470,Montenegro,CO63,Quindio,7.4,VII,malla
CO17042,Anserma,CO17,Caldas,7.3,VII,malla
CO17665,San José,CO17,Caldas,7.3,VII,malla
CO76400,La Unión,CO76,Valle del Cauca,7.3,VII,malla
CO76403,La Victoria,CO76,Valle del Cauca,7.3,VII,malla
CO17486,Neira,CO17,Caldas,7.2,VII,malla
CO17616,Risaralda,CO17,Caldas,7.2,VII,malla
CO63690,Salento,CO63,Quindio,7.2,VII,malla
CO76622,Roldanillo,CO76,Valle del Cauca,7.2,VII,malla
CO76895,Zarzal,CO76,Valle del Cauca,7.2,VII,malla
CO17272,Filadelfia,CO17,Caldas,7.1,VII,malla
CO27160,Cértegui,CO27,Chocó,7.1,VII,malla
CO27413,Lloró,CO27,Chocó,7.1,VII,malla
CO66088,Belén de Umbría,CO66,Risaralda,7.1,VII,malla
CO76100,Bolívar,CO76,Valle del Cauca,7.1,VII,malla
CO76122,Caicedonia,CO76,Valle del Cauca,7.1,VII,malla
CO76736,Sevilla,CO76,Valle del Cauca,7.1,VII,malla
CO27073,Bagadó,CO27,Chocó,7,VII,malla
CO27135,El Cantón del San Pablo,CO27,Chocó,7,VII,malla
CO27205,Condoto,CO27,Chocó,7,VII,malla
CO27361,Istmina,CO27,Chocó,7,VII,malla
CO27450,Medio San Juan,CO27,Chocó,7,VII,malla
CO27491,Nóvita,CO27,Chocó,7,VII,malla
CO27580,Río Iró,CO27,Chocó,7,VII,malla
CO27745,Sipí,CO27,Chocó,7,VII,malla
CO27787,Tadó,CO27,Chocó,7,VII,malla
CO27810,Unión Panamericana,CO27,Chocó,7,VII,malla
CO66383,La Celia,CO66,Risaralda,7,VII,malla
CO76054,Argelia,CO76,Valle del Cauca,7,VII,malla
CO76113,Bugalagrande,CO76,Valle del Cauca,7,VII,malla
CO76243,El Águila,CO76,Valle del Cauca,7,VII,malla
CO17446,Marulanda,CO17,Caldas,6.9,VII,malla
CO27025,Alto Baudó,CO27,Chocó,6.9,VII,malla
CO27077,Bajo Baudó,CO27,Chocó,6.9,VII,malla
CO27250,El Litoral del San Juan,CO27,Chocó,6.9,VII,malla
CO27425,Medio Atrato,CO27,Chocó,6.9,VII,malla
CO27430,Medio Baudó,CO27,Chocó,6.9,VII,malla
CO27660,San José del Palmar,CO27,Chocó,6.9,VII,malla
CO63111,Buenavista,CO63,Quindio,6.9,VII,malla
CO63212,Córdoba,CO63,Quindio,6.9,VII,malla
CO66045,Apía,CO66,Risaralda,6.9,VII,malla
CO66318,Guática,CO66,Risaralda,6.9,VII,malla
CO76036,Andalucía,CO76,Valle del Cauca,6.9,VII,malla
CO76126,Calima,CO76,Valle del Cauca,6.9,VII,malla
CO76250,El Dovio,CO76,Valle del Cauca,6.9,VII,malla
CO76616,Riofrío,CO76,Valle del Cauca,6.9,VII,malla
CO76828,Trujillo,CO76,Valle del Cauca,6.9,VII,malla
CO76834,Tuluá,CO76,Valle del Cauca,6.9,VII,malla
CO76863,Versalles,CO76,Valle del Cauca,6.9,VII,malla
CO17050,Aranzazu,CO17,Caldas,6.8,VII,malla
CO63548,Pijao,CO63,Quindio,6.8,VII,malla
CO66572,Pueblo Rico,CO66,Risaralda,6.8,VII,malla
CO73347,Herveo,CO73,Tolima,6.8,VII,malla
CO76111,Guadalajara de Buga,CO76,Valle del Cauca,6.8,VII,malla
CO76246,El Cairo,CO76,Valle del Cauca,6.8,VII,malla
CO76670,San Pedro,CO76,Valle del Cauca,6.8,VII,malla
CO76890,Yotoco,CO76,Valle del Cauca,6.8,VII,malla
CO17614,Riosucio,CO17,Caldas,6.7,VII,malla
CO27245,El Carmen de Atrato,CO27,Chocó,6.7,VII,malla
CO66594,Quinchía,CO66,Risaralda,6.7,VII,malla
CO73124,Cajamarca,CO73,Tolima,6.7,VII,malla
CO73686,Santa Isabel,CO73,Tolima,6.7,VII,malla
CO76001,Cali,CO76,Valle del Cauca,6.7,VII,malla
CO76130,Candelaria,CO76,Valle del Cauca,6.7,VII,malla
CO76248,El Cerrito,CO76,Valle del Cauca,6.7,VII,malla
CO76318,Guacarí,CO76,Valle del Cauca,6.7,VII,malla
CO76520,Palmira,CO76,Valle del Cauca,6.7,VII,malla
CO76892,Yumbo,CO76,Valle del Cauca,6.7,VII,malla
CO17653,Salamina,CO17,Caldas,6.6,VII,malla
CO66456,Mistrató,CO66,Risaralda,6.6,VII,malla
