pcode,lugar,metrica,etiqueta_hxl,valor,observado_en,fuente,tipo_de_fuente,url_fuente,notas
#loc+code,#loc+name,#indicator+name,#meta+tag,#indicator+num,#date+observed,#meta+source,#meta+source+type,#meta+url,#description
CO,Colombia,deaths_confirmed,#affected+killed,181,2026-08-11T12:00:00-05:00,Infobae — balance presidencial,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,Balance nacional del 11 de agosto. Convive con cifras más altas del día anterior: los conteos tempranos se corrigen.
CO,Colombia,deaths_confirmed,#affected+killed,234,2026-08-10T22:00:00-05:00,Infobae — cifra de Asocapitales,press,https://www.infobae.com/colombia/2026/08/10/en-vivo-fuerte-temblor-de-74-se-sintio-en-colombia-cali-y-manizales-reportan-derrumbes-en-edificaciones/,Balance del 10 de agosto. Se conserva a propósito: muestra cómo variaron las cifras.
CO,Colombia,injured,#affected+injured,2595,2026-08-11T12:00:00-05:00,Infobae — balance presidencial,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO,Colombia,missing_reported,#affected+missing,195,2026-08-11T12:00:00-05:00,Infobae — balance presidencial,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,"Si buscas a alguien, usa Cruz Roja RCF o la línea 123. Este sitio no recibe reportes."
CO,Colombia,buildings_collapsed,#infra+housing+destroyed,1136,2026-08-11T12:00:00-05:00,Infobae — balance presidencial,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,"Viviendas destruidas. Aparte, 48 edificios colapsados."
CO,Colombia,buildings_damaged,#infra+housing+damaged,8357,2026-08-11T12:00:00-05:00,Infobae — balance presidencial,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO,Colombia,schools_affected,#infra+education+damaged,807,2026-08-11T12:00:00-05:00,Infobae — balance presidencial,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO76001,"Cali, Valle del Cauca",deaths_confirmed,#affected+killed,95,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
CO76001,"Cali, Valle del Cauca",injured,#affected+injured,949,2026-08-11T12:00:00-05:00,Infobae,press,https://www.infobae.com/colombia/2026/08/11/balance-de-las-zonas-mas-afectadas-por-el-terremoto-en-colombia-esta-es-la-situacion-de-las-ciudades-en-alerta-roja/,
